"ReactionID"	"Reaction"	"Compartment"	"xsub"	"ysub"	"xprod"	"yprod"
"r_1084"	"(1->3)-beta-D-glucan transport"	"exchange"	NA	NA	NA	NA
"r_0001"	"(R)-lactate:ferricytochrome-c 2-oxidoreductase"	"exchange"	NA	NA	NA	NA
"r_0004"	"(S)-lactate:ferricytochrome-c 2-oxidoreductase"	"exchange"	NA	NA	NA	NA
"r_0008"	"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase"	"c_02"	NA	NA	NA	NA
"r_0005"	"1,3-beta-glucan synthase"	"exchange"	NA	NA	NA	NA
"r_0016"	"2-aceto-2-hydroxybutanoate synthase"	"c_10"	NA	NA	NA	NA
"r_0018"	"2-aminoadipate transaminase"	"c_02"	NA	NA	NA	NA
"r_0019"	"2-dehydropantoate 2-reductase"	"c_02"	NA	NA	NA	NA
"r_0020"	"2-dehydropantoate 2-reductase"	"c_10"	NA	NA	NA	NA
"r_1093"	"2-dehydropantoate transport"	"exchange"	NA	NA	NA	NA
"r_0025"	"2-isopropylmalate hydratase"	"c_02"	NA	NA	NA	NA
"r_0026"	"2-isopropylmalate synthase"	"c_02"	NA	NA	NA	NA
"r_0027"	"2-isopropylmalate synthase"	"c_10"	NA	NA	NA	NA
"r_1096"	"2-isopropylmalate transport"	"exchange"	NA	NA	NA	NA
"r_0029"	"2-methylcitrate dehydratase"	"c_10"	NA	NA	NA	NA
"r_0031"	"2-oxo-4-methyl-3-carboxypentanoate decarboxylation"	"c_02"	NA	NA	NA	NA
"r_1104"	"2-oxoadipate and 2-oxoglutarate transport"	"exchange"	NA	NA	NA	NA
"r_1105"	"2-oxoadipate transport"	"exchange"	NA	NA	NA	NA
"r_1106"	"2-oxobutanoate transporter"	"exchange"	NA	NA	NA	NA
"r_0042"	"3-dehydroquinate dehydratase"	"c_02"	NA	NA	NA	NA
"r_0043"	"3-dehydroquinate synthase"	"c_02"	NA	NA	NA	NA
"r_0045"	"3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase"	"c_02"	NA	NA	NA	NA
"r_0048"	"3-hydroxy-L-kynurenine hydrolase"	"c_02"	NA	NA	NA	NA
"r_0051"	"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexacosyl-CoA)"	"c_14"	NA	NA	NA	NA
"r_0052"	"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)"	"c_14"	NA	NA	NA	NA
"r_0053"	"3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)"	"c_14"	NA	NA	NA	NA
"r_0057"	"3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosyl-CoA)"	"c_14"	NA	NA	NA	NA
"r_0058"	"3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)"	"c_14"	NA	NA	NA	NA
"r_0059"	"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA)"	"c_14"	NA	NA	NA	NA
"r_0061"	"3-hydroxyanthranilate 3,4-dioxygenase"	"c_02"	NA	NA	NA	NA
"r_0063"	"3-isopropylmalate dehydratase"	"c_02"	NA	NA	NA	NA
"r_1115"	"3-methyl-2-oxopentanoate transport"	"exchange"	NA	NA	NA	NA
"r_1116"	"3-methyl-2-oxopentanoate transport"	"exchange"	NA	NA	NA	NA
"r_1119"	"3-methylbutanal transport"	"exchange"	NA	NA	NA	NA
"r_0068"	"3-phosphoshikimate 1-carboxyvinyltransferase"	"c_02"	NA	NA	NA	NA
"r_0034"	"3',5'-bisphosphate nucleotidase"	"c_02"	NA	NA	NA	NA
